seed_query,step,video_id,cluster
beginner guitar,0,CkU-qerFLpc,2
beginner guitar,0,FOV_qIIblNE,2
beginner guitar,0,Ofle1tlwrkQ,2
beginner guitar,0,sbFBW4YWsS0,2
beginner guitar,0,bS-GBqgTPyg,2
healthy cooking,0,hapjShCi254,0
healthy cooking,0,APwwGy4GzK8,0
healthy cooking,0,PesbDU3e1aI,0
healthy cooking,0,RwPQKHxnAdM,0
healthy cooking,0,mhDJNfV7hjk,0
stretching exercises,0,YIJndOqIcLU,1
stretching exercises,0,kOagT9QluUE,1
stretching exercises,0,EaowkLiLWVs,1
stretching exercises,0,2eA2Koq6pTI,1
stretching exercises,0,CyS_uzyXic8,1
beginner guitar,1,QTdD40Ay59g,2
beginner guitar,1,eqy21Xn_br8,2
beginner guitar,1,SIxHT-dNRvI,2
beginner guitar,1,gMgTN1COhTA,2
beginner guitar,1,ekd4mcdvWxU,2
beginner guitar,1,vcITKaBacnA,2
beginner guitar,1,KYjgMAIfW4c,2
beginner guitar,1,Trg8IjdXaPo,2
beginner guitar,1,CIMiDVGOAwo,2
beginner guitar,1,EbJ4ZCAPX5A,2
beginner guitar,1,ZVmZz1DNONE,2
beginner guitar,1,XUf_xWZVpZ8,2
beginner guitar,1,FbY0w2fb4-4,2
beginner guitar,1,7VSrnVEnX4g,2
beginner guitar,1,_tVWqBXct7Y,2
beginner guitar,1,ZL0fdXPXNhA,2
beginner guitar,1,tu4BGUkWIFE,2
beginner guitar,1,UkjMYVXQzhs,2
beginner guitar,1,yfDf9Bnli0s,0
beginner guitar,1,cHHUs9aQd-M,2
beginner guitar,1,iISXDnHBBfU,2
beginner guitar,1,Z76fXcV_h04,2
healthy cooking,1,YCU2Iyr6Xts,0
healthy cooking,1,OIwC6Jv55Hk,0
healthy cooking,1,rkmXwQuFyN4,0
healthy cooking,1,lte4p46z8xw,0
healthy cooking,1,oxXNklNgmbM,0
healthy cooking,1,AbhkBDyq6nU,0
healthy cooking,1,Ea2wlMCYHhI,0
healthy cooking,1,LXACilU9ies,0
healthy cooking,1,tVKCe1Werz4,0
healthy cooking,1,pdA_idnWTf8,0
healthy cooking,1,2WDIBat-Jgo,0
healthy cooking,1,WDwAFiNLmgI,0
healthy cooking,1,Qb5Amsjdw5Q,0
healthy cooking,1,LzWb_P4lYgA,0
healthy cooking,1,c1EpTfvPc84,0
healthy cooking,1,mjhaUqpBbJU,0
healthy cooking,1,5hs3Vfgenrg,0
healthy cooking,1,p6pqrxIHzo8,0
healthy cooking,1,y3GK-ahxpL4,0
healthy cooking,1,KiVmaYyfEsA,0
healthy cooking,1,2vO1CUtP4vI,0
healthy cooking,1,kNj3aPiudMg,2
healthy cooking,1,EFm2gbaXnWc,0
healthy cooking,1,izWRBNSVlc0,0
stretching exercises,1,lW1Kxykbn0k,1
stretching exercises,1,Yqk6KEPVrW0,1
stretching exercises,1,BGBXZHu7jBY,1
stretching exercises,1,AUsbthQ9W-I,1
stretching exercises,1,aO1boUJhjvk,1
stretching exercises,1,vvxnFNsnE6o,1
stretching exercises,1,LTb4Blvyf7g,2
stretching exercises,1,j5VsVh8dtsc,1
stretching exercises,1,-SD_MucCa6c,1
stretching exercises,1,s-7lyvblFNI,1
stretching exercises,1,HzXkMnvqojE,1
stretching exercises,1,GBDCcdRbvv0,1
stretching exercises,1,6FyHoo4Vfxg,1
stretching exercises,1,8AeojB3Nphg,1
stretching exercises,1,9X-4dGjcIcQ,1
stretching exercises,1,zHdye45tUBI,2
stretching exercises,1,Oic0YR6HW-o,1
stretching exercises,1,HVJ19uMATEM,1
stretching exercises,1,Lmr6nValYOA,1
stretching exercises,1,7_Gmj7awnWY,1
stretching exercises,1,npNod6rVZrs,1
stretching exercises,1,XQzqWAhiCJc,1
beginner guitar,2,lWc4Rs4_UsU,2
beginner guitar,2,7p96xoeiepo,2
beginner guitar,2,vN01ZrlnMeg,2
beginner guitar,2,brA0k0ey49s,2
beginner guitar,2,Z7xm_juNcPY,2
beginner guitar,2,3LUYd5vMAEo,2
beginner guitar,2,bAo_yiMukcQ,2
beginner guitar,2,pV6E07VHvko,2
beginner guitar,2,LTb4Blvyf7g,2
beginner guitar,2,SUrXsAhGu98,2
beginner guitar,2,LmsIdZmsIdU,2
beginner guitar,2,BnZ61MBYGRk,2
beginner guitar,2,jq0ZAc97cAY,2
beginner guitar,2,vh3QYVJu8BU,2
beginner guitar,2,SJzJjR148f0,0
beginner guitar,2,PAalvdlhE6U,1
beginner guitar,2,H9f_5zL_6j0,2
beginner guitar,2,47zKoqygaX0,2
beginner guitar,2,nGm0T8HvPwg,2
beginner guitar,2,BV2_dn8Zg4g,2
beginner guitar,2,Byxe8jSFT0A,2
beginner guitar,2,p96fp6tnNc8,2
beginner guitar,2,bxok-ifBe3g,2
beginner guitar,2,WGIcfDCWysQ,2
beginner guitar,2,-jVraL0_N_U,2
beginner guitar,2,jxb0yhfrcEU,2
beginner guitar,2,-mmnZn6_fHg,2
beginner guitar,2,tU4VFo6WxNY,1
beginner guitar,2,64WeXxFBmu4,2
beginner guitar,2,kO9oW_c0IjA,2
beginner guitar,2,jqw-BOxzRzE,2
healthy cooking,2,1EoHTyLMNS0,0
healthy cooking,2,iSqdvi9_Vfg,0
healthy cooking,2,F_C021jfVs0,0
healthy cooking,2,7MXpsXzezuI,0
healthy cooking,2,9UIWc4vUMQ0,0
healthy cooking,2,Fkdn5H5SBfo,0
healthy cooking,2,3fKHwLXjDzo,0
healthy cooking,2,skzC9F53q6I,0
healthy cooking,2,-9JjzuC43PY,0
healthy cooking,2,B0qfFHMHbPI,0
healthy cooking,2,WNa6tf-wcL0,0
healthy cooking,2,O2wz9OpsQu8,0
healthy cooking,2,hd6M9dE7ofM,0
healthy cooking,2,shYuaHDzdXc,0
healthy cooking,2,_f4ArgoSmoM,0
healthy cooking,2,AYXfaVD5o40,0
healthy cooking,2,Acs7ZnIdo4o,0
healthy cooking,2,Mk5mhv6bxg8,0
healthy cooking,2,NarYaExBW-k,0
healthy cooking,2,EqJPqxEz8CA,0
healthy cooking,2,CRd8dHqU1AM,0
healthy cooking,2,dDLRaiocb_k,0
healthy cooking,2,LxNo-c0iHw8,0
healthy cooking,2,QTdD40Ay59g,2
healthy cooking,2,ofxeWB61xtc,0
healthy cooking,2,ZaEtt6lmNWE,0
healthy cooking,2,ZR3G6BICNAU,0
healthy cooking,2,mZQ9s_tLFPU,0
healthy cooking,2,wi5-THIaA4Y,0
healthy cooking,2,IBWfn0BC-2E,0
healthy cooking,2,SJzJjR148f0,0
healthy cooking,2,_Ak4agFSteE,0
healthy cooking,2,bRoaYyF-vn8,0
healthy cooking,2,n3_3TxHXfPU,0
healthy cooking,2,9TbXcPqGWpg,0
healthy cooking,2,BlBIQyFh8S4,0
healthy cooking,2,zQhjxZhIgG8,0
healthy cooking,2,T74SDvy_HLY,0
healthy cooking,2,HeUXIKTcuj4,0
healthy cooking,2,sqRINhVZmdM,0
healthy cooking,2,2NFtEisTAQQ,0
healthy cooking,2,t2Bt5FXCRQA,0
healthy cooking,2,Wh8gS80lGmY,0
healthy cooking,2,5rcCiXqAShY,2
healthy cooking,2,d52MZJw-hIE,2
healthy cooking,2,jxb0yhfrcEU,2
healthy cooking,2,KYjgMAIfW4c,2
healthy cooking,2,6FZwdr9elLA,0
healthy cooking,2,rril8ZCXiQE,0
stretching exercises,2,75pA0MaLvy0,1
stretching exercises,2,YfCK3uOz1r4,1
stretching exercises,2,ZVAL3LEKnKg,1
stretching exercises,2,JA2tBX4wRUQ,1
stretching exercises,2,_lT5Cd4cDTc,1
stretching exercises,2,7V-EbW-DmN0,1
stretching exercises,2,8YXglW9kvH4,1
stretching exercises,2,3EbfNiWTYcM,1
stretching exercises,2,R0eqxnSyRkM,1
stretching exercises,2,t2jel6q1GRk,1
stretching exercises,2,N5xKh13Yuqk,1
stretching exercises,2,t-1Z2ZYpmt0,1
stretching exercises,2,itJE4neqDJw,1
stretching exercises,2,9wl-O_H9q5M,1
stretching exercises,2,2gS8RYc9lus,1
stretching exercises,2,SnczdEkUBvg,1
stretching exercises,2,b8O0u9qnRS4,1
stretching exercises,2,IjH_8pdybfs,1
stretching exercises,2,1Ja_fqUehHA,1
stretching exercises,2,jDFH__6aRGQ,1
stretching exercises,2,uKevDg2NLZ4,1
stretching exercises,2,eQHmKJh20_c,1
stretching exercises,2,Z76fXcV_h04,2
stretching exercises,2,vnBd5kL7ynE,2
stretching exercises,2,6Jxz9F3CYuo,2
stretching exercises,2,BBz-Jyr23M4,2
stretching exercises,2,pNvXq37fSqo,1
stretching exercises,2,CKnlEt5n3Sk,1
stretching exercises,2,i6TzP2COtow,1
stretching exercises,2,Ok6hdKX_Fcg,1
stretching exercises,2,uwzgs42jjC8,1
stretching exercises,2,5vZ8XM5G5S0,0
stretching exercises,2,SUrXsAhGu98,2
stretching exercises,2,cWaxxvYsgcY,1
stretching exercises,2,dDLRaiocb_k,0
stretching exercises,2,kv4rgI2D464,1
stretching exercises,2,pWJWBDaVq5o,1
stretching exercises,2,p3a2a4GBfJA,2
stretching exercises,2,vh3QYVJu8BU,2
stretching exercises,2,FOV_qIIblNE,2
stretching exercises,2,RnVdZgGhLH8,2
stretching exercises,2,YtDq7zNjORk,1
stretching exercises,2,yI4hnt0IXDw,1
stretching exercises,2,BPlCatqZRPI,1
stretching exercises,2,0XBcrjkkwQo,1
stretching exercises,2,CCzZC0xgWSo,1
beginner guitar,3,R_qmvyUDvEc,2
beginner guitar,3,mkYYOzNIrUY,2
beginner guitar,3,_1nK6BJFzc4,2
beginner guitar,3,izeO1Vpqvvo,1
beginner guitar,3,0ucUMfgonxc,1
beginner guitar,3,6zaM8HG1npQ,2
beginner guitar,3,JetmKMUGnEk,2
beginner guitar,3,SJDFMW-WEIg,2
beginner guitar,3,5rcCiXqAShY,2
beginner guitar,3,odicgM5EUKM,2
beginner guitar,3,-X84GG06g-c,2
beginner guitar,3,pdA_idnWTf8,0
beginner guitar,3,zX9t5jGovCk,1
beginner guitar,3,WUKHM6-ekJM,1
beginner guitar,3,XQWnrf3wChw,1
beginner guitar,3,Kkc1RQVGFgE,1
beginner guitar,3,_aIvLXkgVL0,2
beginner guitar,3,p3a2a4GBfJA,2
beginner guitar,3,2FTndcu891g,2
beginner guitar,3,6ny8htqHHuM,2
beginner guitar,3,hb9G4EqA-LI,2
beginner guitar,3,ghtSFJFjNw0,2
beginner guitar,3,vnBd5kL7ynE,2
beginner guitar,3,aO1boUJhjvk,1
beginner guitar,3,6Jxz9F3CYuo,2
beginner guitar,3,BBz-Jyr23M4,2
beginner guitar,3,Ptj-NEb5oB4,1
beginner guitar,3,RKYhcPV2dbA,1
beginner guitar,3,VtMIR3PPd_U,2
beginner guitar,3,MKEsgvWYQ4k,2
beginner guitar,3,kNj3aPiudMg,2
beginner guitar,3,d52MZJw-hIE,2
beginner guitar,3,g0jmK_CojBE,2
beginner guitar,3,mAM_J6KjNFA,2
beginner guitar,3,_0jSfWOgt4E,2
beginner guitar,3,rpoyXduMZZw,2
beginner guitar,3,VjAnb2gBFVI,2
beginner guitar,3,1SAAl0zOeeo,0
healthy cooking,3,A-6BYHoCuLs,0
healthy cooking,3,MStTmo7rZWo,0
healthy cooking,3,6Vzt8dtaBec,0
healthy cooking,3,m7Aj3xvfgaE,0
healthy cooking,3,SIxHT-dNRvI,2
healthy cooking,3,9i3xFDMOhlU,0
healthy cooking,3,PuZz6UBwmrY,0
healthy cooking,3,fPY6kkovUpo,0
healthy cooking,3,uc-mAeMhb6Y,0
healthy cooking,3,cGsaC0M_XKY,0
healthy cooking,3,lz0ndvU9HKw,0
healthy cooking,3,odicgM5EUKM,2
healthy cooking,3,R_qmvyUDvEc,2
healthy cooking,3,U1K52552Ib4,0
healthy cooking,3,CIMiDVGOAwo,2
healthy cooking,3,vcITKaBacnA,2
healthy cooking,3,bAo_yiMukcQ,2
healthy cooking,3,X1inmvjOIbc,0
healthy cooking,3,5xQ7xdNVDSE,0
healthy cooking,3,4eBEAsMGLFA,0
healthy cooking,3,tJoz4Dh3qqI,0
healthy cooking,3,ETa6a9IW-0o,0
healthy cooking,3,Oic0YR6HW-o,1
healthy cooking,3,H9f_5zL_6j0,2
healthy cooking,3,47zKoqygaX0,2
healthy cooking,3,gMgTN1COhTA,2
healthy cooking,3,ybWHLLF-TDU,0
healthy cooking,3,XUf_xWZVpZ8,2
healthy cooking,3,FbY0w2fb4-4,2
healthy cooking,3,7VSrnVEnX4g,2
healthy cooking,3,PAalvdlhE6U,1
healthy cooking,3,sbFBW4YWsS0,2
healthy cooking,3,ekd4mcdvWxU,2
healthy cooking,3,brA0k0ey49s,2
healthy cooking,3,kMSLTWqh04U,0
healthy cooking,3,rwkQzNJCAiI,1
healthy cooking,3,P7QfrTtUBzs,0
healthy cooking,3,QKeX18l06Zk,0
healthy cooking,3,PrsFXwRYNiM,0
healthy cooking,3,VNd4Bx2MWK4,0
healthy cooking,3,MKEsgvWYQ4k,2
healthy cooking,3,cHHUs9aQd-M,2
healthy cooking,3,jq0ZAc97cAY,2
healthy cooking,3,A6JdBhPBTQc,0
healthy cooking,3,t887nCB3xyE,0
healthy cooking,3,jXtJC3fizQA,0
healthy cooking,3,SJ5fGwKC_FQ,0
healthy cooking,3,R0eqxnSyRkM,1
healthy cooking,3,g8yyL5xgXIk,1
healthy cooking,3,2hvJvXffN_U,1
healthy cooking,3,WJfDTzvQg9U,0
healthy cooking,3,NxJoQjoVZpA,2
stretching exercises,3,VULt--bcWd0,1
stretching exercises,3,X89JQvb2-TM,1
stretching exercises,3,zOGCrQRpNMY,1
stretching exercises,3,sGdRJxUdPN8,1
stretching exercises,3,jOKXsPqu1qo,2
stretching exercises,3,odicgM5EUKM,2
stretching exercises,3,WJfDTzvQg9U,0
stretching exercises,3,SV2ehlxGEFw,2
stretching exercises,3,Z7xm_juNcPY,2
stretching exercises,3,3LUYd5vMAEo,2
stretching exercises,3,bAo_yiMukcQ,2
stretching exercises,3,pV6E07VHvko,2
stretching exercises,3,u9OQMBPrFgI,1
stretching exercises,3,N4-SqO2IRfQ,1
stretching exercises,3,EbJ4ZCAPX5A,2
stretching exercises,3,Trg8IjdXaPo,2
stretching exercises,3,CIMiDVGOAwo,2
stretching exercises,3,-X84GG06g-c,2
stretching exercises,3,FI51zRzgIe4,1
stretching exercises,3,zX9t5jGovCk,1
stretching exercises,3,LxNo-c0iHw8,0
stretching exercises,3,2WDIBat-Jgo,0
stretching exercises,3,WDwAFiNLmgI,0
stretching exercises,3,LzWb_P4lYgA,0
stretching exercises,3,jReivdS83Mo,1
stretching exercises,3,QVNoWHg78jk,1
stretching exercises,3,YR7-jqqdbNs,1
stretching exercises,3,xUynPSq2abQ,1
stretching exercises,3,K_d_ojyolY8,1
stretching exercises,3,b9--dPDiBDM,1
stretching exercises,3,2n-1YF_r9wg,1
stretching exercises,3,XQWnrf3wChw,1
stretching exercises,3,WUKHM6-ekJM,1
stretching exercises,3,g8yyL5xgXIk,1
stretching exercises,3,ZnigpbNQDRs,1
stretching exercises,3,TxgoVurBSb4,1
stretching exercises,3,nNajNM5H1OM,1
stretching exercises,3,2FTndcu891g,2
stretching exercises,3,64WeXxFBmu4,2
stretching exercises,3,6ny8htqHHuM,2
stretching exercises,3,hb9G4EqA-LI,2
stretching exercises,3,4BOTvaRaDjI,0
stretching exercises,3,ZaEtt6lmNWE,0
stretching exercises,3,6Vzt8dtaBec,0
stretching exercises,3,ZVmZz1DNONE,2
stretching exercises,3,XUf_xWZVpZ8,2
stretching exercises,3,FbY0w2fb4-4,2
stretching exercises,3,7VSrnVEnX4g,2
stretching exercises,3,gMgTN1COhTA,2
stretching exercises,3,R_qmvyUDvEc,2
stretching exercises,3,6Tr3GLfySYo,1
stretching exercises,3,HRmUGApjqcc,1
stretching exercises,3,5D1GkREjz3I,1
stretching exercises,3,4XX6AHSYgHA,1
stretching exercises,3,9i3xFDMOhlU,0
stretching exercises,3,WBhmNTykYiE,1
stretching exercises,3,PUP3ND8KblI,1
stretching exercises,3,PAalvdlhE6U,1
stretching exercises,3,AGj7wEn1jLo,1
stretching exercises,3,0GC_OnytlPM,1
stretching exercises,3,0ucUMfgonxc,1
stretching exercises,3,VmbrkHf9Nps,1
